id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-157247,2021-04-26,000001,Vente,980441.25,,,LE CHAMP DE LA HAIE,B146,35400,35288,Saint-Malo,35,,,35288000DH0392,,,,,,,,,,,,,0,,,,,T,terres,,,3251,-1.977634,48.620911
2021-157247,2021-04-26,000001,Vente,980441.25,,,LE GRAND MERLEVIN,B795,35400,35288,Saint-Malo,35,,,35288000DH0393,,,,,,,,,,,,,0,,,,,T,terres,,,7329,-1.977509,48.619814
2021-157247,2021-04-26,000001,Vente,980441.25,,,LE CHAMP DE LA HAIE,B146,35400,35288,Saint-Malo,35,,,35288000DH0394,,,,,,,,,,,,,0,,,,,T,terres,,,13447,-1.976677,48.620273
2021-157247,2021-04-26,000001,Vente,980441.25,,,LA BOITARDE,B086,35400,35288,Saint-Malo,35,,,35288000DH0395,,,,,,,,,,,,,0,,,,,T,terres,,,4760,-1.978331,48.620175
2021-157247,2021-04-26,000001,Vente,980441.25,,,LE CHAMP DE LA HAIE,B146,35400,35288,Saint-Malo,35,,,35288000DH0396,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,601,-1.977765,48.619465
2021-157247,2021-04-26,000001,Vente,980441.25,,,LE GRAND MERLEVIN,B795,35400,35288,Saint-Malo,35,,,35288000DH0397,,,,,,,,,,,,,0,,,,,S,sols,,,772,-1.977967,48.620145
2021-157248,2021-04-28,000001,Vente en l'état futur d'achèvement,220000,10,,BD DE LA TOUR D AUVERGNE,8300,35400,35288,Saint-Malo,35,,,35288000AK0581,,,106,,,,,,,,,,1,,,,,,,,,,-2.003316,48.651365
2021-157248,2021-04-28,000001,Vente en l'état futur d'achèvement,220000,10,,BD DE LA TOUR D AUVERGNE,8300,35400,35288,Saint-Malo,35,,,35288000AK0581,,,49,,,,,,,,,,1,,,,,,,,,,-2.003316,48.651365
2021-157249,2021-04-28,000001,Vente,126500,3,,PAS DES LOTUS,5137,35400,35288,Saint-Malo,35,,,35288000DK0720,,,6,,9,67.87,,,,,,,2,2,Appartement,68,3,,,,,,-1.993499,48.629133
2021-157252,2021-04-20,000001,Vente en l'état futur d'achèvement,305000,91,,AV DE MOKA,5730,35400,35288,Saint-Malo,35,,,35288000AK0187,,,81,,,,,,,,,,1,,,,,,,,,,-2.002843,48.649411
2021-157252,2021-04-20,000001,Vente en l'état futur d'achèvement,305000,91,,AV DE MOKA,5730,35400,35288,Saint-Malo,35,,,35288000AK0187,,,121,,,,,,,,,,1,,,,,,,,,,-2.002843,48.649411
2021-157252,2021-04-20,000001,Vente en l'état futur d'achèvement,305000,91,,AV DE MOKA,5730,35400,35288,Saint-Malo,35,,,35288000AK0187,,,194,,,,,,,,,,1,,,,,,,,,,-2.002843,48.649411
2021-157253,2021-04-14,000001,Vente,350000,7,,IMP MARIETTE,5438,35400,35288,Saint-Malo,35,,,35288000VS0028,,,,,,,,,,,,,0,1,Maison,106,5,S,sols,,,551,-1.984006,48.645265
2021-157254,2021-04-15,000001,Vente en l'état futur d'achèvement,280000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,34,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-157254,2021-04-15,000001,Vente en l'état futur d'achèvement,280000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,105,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-157254,2021-04-15,000001,Vente en l'état futur d'achèvement,280000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,104,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-157255,2021-04-19,000001,Vente en l'état futur d'achèvement,330000,3,,RUE JULES FERRY,4840,35400,35288,Saint-Malo,35,,,35288000AK0611,,,117,,,,,,,,,,1,,,,,,,,,,-2.004204,48.651434
2021-157255,2021-04-19,000001,Vente en l'état futur d'achèvement,330000,3,,RUE JULES FERRY,4840,35400,35288,Saint-Malo,35,,,35288000AK0611,,,36,,,,,,,,,,1,,,,,,,,,,-2.004204,48.651434
2021-157255,2021-04-19,000001,Vente en l'état futur d'achèvement,330000,3,,RUE JULES FERRY,4840,35400,35288,Saint-Malo,35,,,35288000AK0611,,,122,,,,,,,,,,1,,,,,,,,,,-2.004204,48.651434
2021-157256,2021-04-19,000001,Vente en l'état futur d'achèvement,262000,,,CLOS DE BELLEVENT,B374,35400,35288,Saint-Malo,35,,,35288000VH0030,,,42,,,,,,,,,,1,,,,,,,,,,-1.97003,48.653212
